name,ring,quadrant,isNew,description
Microservice Architecture,1,Software Engineering,FALSE,"Microservice architecture is a software development approach that structures an application as a collection of loosely coupled services, each implementing a specific business function and communicating through well-defined APIs. Unlike monolithic architectures where the entire application is built as a single unit, microservices are small, independently deployable modules that work together to form the whole application. This architecture allows for greater flexibility in using different programming languages and technologies within the same application, easier scaling by deploying more instances of specific services as needed, and improved resilience, as the failure of a single service does not necessarily bring down the entire system. Microservices also support organizational agility by enabling small, cross-functional teams to own and evolve services independently, thereby accelerating development cycles and facilitating continuous delivery and deployment."
Serverless Architecture,1,Software Engineering,FALSE,"Serverless architecture is a cloud computing model that allows developers to build and run applications and services without managing the underlying infrastructure. In a serverless setup, the cloud provider dynamically manages the allocation and provisioning of servers. Developers simply deploy code, and the platform automatically handles the execution, scaling from a few requests per day to thousands per second as needed.
The term ""serverless"" doesn't mean servers are absent; rather, it means that the responsibility for managing servers and infrastructure is shifted away from the developers. This model enables developers to focus more on writing code and less on managing and operating servers or runtime environments.
Serverless architectures are often used in conjunction with event-driven programming, where code is executed in response to events such as HTTP requests, database changes, or message queue triggers. This approach can lead to cost savings, as billing is based on the actual amount of resources consumed by an application, rather than on pre-purchased units of capacity. It also promotes faster development cycles, scalability, and high availability."
Domain Driven Design,1,Software Engineering,FALSE,"Domain-Driven Design (DDD) is a methodology that centers on modeling software closely after the real-world domain it targets. It emphasizes collaboration between technical and domain experts to create a shared language, ensuring the software architecture and codebase reflect the specific complexities and rules of the domain. DDD aims to produce more intuitive and adaptable software systems by prioritizing domain logic and structures over technical details."
OpenAPI,1,Backend,FALSE,"OpenAPI, formerly known as Swagger, is a specification for building APIs that allows for a standardized way to describe RESTful APIs. This specification enables both humans and computers to understand the capabilities of a service without accessing its source code or seeing any documentation. An OpenAPI definition can then be used to generate documentation, client SDKs, and even server stubs in various programming languages. This approach facilitates API development, testing, and integration, making it easier for developers to create and consume web services. OpenAPI supports defining endpoints, request/response schemas, authentication methods, and other relevant API information, thus promoting clear communication, interoperability, and faster development cycles in the API ecosystem."
PostgreSQL,1,Backend,FALSE,"PostgreSQL is an advanced, open-source object-relational database system known for its reliability, robustness, and performance. It supports a wide range of data types, including JSON, and offers features such as sophisticated query capabilities, transactional integrity, and concurrency without read locks. PostgreSQL is designed to handle a variety of workloads, from single machines to data warehouses or Web services with many concurrent users. It provides extensive support for SQL standards and offers many modern features: complex queries, foreign keys, triggers, updatable views, and stored procedures. Its extensibility makes it a popular choice for developers who need a secure, scalable, and efficient database solution for their applications."
Serverless Functions,1,Backend,FALSE,"Serverless functions, often referred to as Functions as a Service (FaaS), are small, single-purpose pieces of code that are executed in response to events, such as HTTP requests, database events, or queue messages. In a serverless architecture, the cloud provider automatically manages the execution environment, scaling up or down based on demand. Developers write and deploy code, which the cloud provider then executes, handles, and scales as needed, charging only for the compute time used during the function execution. This model allows for highly scalable, efficient applications without the need to manage server infrastructure, leading to cost savings and reduced operational overhead for developers."
OAuth og OpenID Connect,1,Backend,FALSE,"OAuth is an open standard for access delegation, commonly used as a way for Internet users to grant websites or applications access to their information on other websites but without giving them the passwords. It acts as an intermediary, providing tokens to applications after the user has approved access. This allows users to share their data from one site (like a social network or cloud storage) with another site or application without sharing their credentials.

OpenID Connect (OIDC) is built on top of OAuth 2.0 and adds an authentication layer, enabling clients to verify the identity of the end-user based on the authentication performed by an Authorization Server, as well as to obtain basic profile information about the end-user in an interoperable and REST-like manner. OIDC allows clients to request and receive information about authenticated sessions and end-users. In essence, while OAuth 2.0 is about resource access and sharing, OIDC is about user authentication."
REST API,1,Backend,FALSE,"A REST API is a way for web applications to communicate with each other using standard HTTP methods, allowing clients to access and manipulate web resources through URLs and HTTP protocols. It's designed for simplicity, scalability, and stateless communication."
NoSQL,1,Backend,FALSE,"NoSQL is a category of database management systems that differ from traditional relational database systems in that they do not use SQL for querying. NoSQL databases are designed to handle large volumes of data, provide high performance, and scale easily. They are often used for big data and real-time web applications. NoSQL databases can store data in various formats such as key-value pairs, document-oriented, column-oriented, or graph databases, making them more flexible in handling different data types and structures compared to the strict schemas required by relational databases. This flexibility allows NoSQL databases to efficiently manage unstructured or semi-structured data.

E.g. DynamoDB, MongoDB, Redis, Elasticsearch, Neo4j, key value storage"
Relasjonsdatabaser,1,Backend,FALSE,"A relational database is a type of database that stores and provides access to data points that are related to one another. It organizes data into tables, which consist of rows and columns, with each row representing a record and each column representing a data field. Relational databases use Structured Query Language (SQL) for defining, manipulating, and querying data. They are based on the relational model, an intuitive and straightforward way of representing data in tables. This model enables complex queries and transactions, ensuring data integrity and consistency through constraints, relationships, and transactions. Relational databases are widely used for a variety of applications, from simple customer relationship management systems to complex financial systems, due to their reliability, flexibility, and robust support for concurrent users and transactions."
